Date,Time,Vendor Name,Invoice No,Amount,Department,Description
08-04-2025,22:01:03,Gonzalez-Santiago,INV-107,2078.02,Finance,Equipment
13-04-2025,20:07:28,Hobbs Inc,INV-104,1839.43,HR,Training
11-05-2025,8:27:30,Lucas-Smith,INV-190,1482.3,Operations, 
26-04-2025,9:55:39,Smith-Lyons,INV-148,2985.3,Finance,Equipment
09-05-2025,23:30:15,"Velazquez, Santos and Davenport",INV-198,807.67,Operations,License renewal
22-04-2025,22:29:07,Hobbs Inc,INV-159,3575.74,Operations,Training
20-06-2025,1:36:38,"Hunter, Garcia and Acevedo",INV-187,815.26,Marketing,License renewal
18-05-2025,12:18:02,Dunn-Harris,INV-154,2421.95,IT,License renewal
10-06-2025,20:45:13,"Hunter, Garcia and Acevedo",INV-154,5286.59,IT,Maintenance
23-06-2025,7:34:46,"Walters, Newton and Patterson",INV-103,83.21,Finance,Equipment
25-06-2025,14:04:55,"Young, Murphy and Melton",INV-146,1656.88,HR, 
18-04-2025,11:05:46,"Jefferson, Gallagher and Tucker",INV-129,4640.38,Marketing,Travel expenses
19-04-2025,8:19:35,Dunn-Harris,INV-198,3680.6,Marketing,Office supplies
24-05-2025,9:31:24,Young Inc,INV-123,2179.79,IT,Software purchase
22-04-2025,4:26:06,"Salinas, Aguirre and Wilson",INV-115,2448.88,Finance, 
15-04-2025,17:48:16,"Salinas, Aguirre and Wilson",INV-154,3790.92,Finance,
01-05-2025,17:48:00,Lucas-Smith,INV-173,3014.24,IT,Software purchase
07-04-2025,9:00:16,Marks Ltd,INV-167,2640.81,HR,Software purchase
07-04-2025,20:27:16,"Young, Murphy and Melton",INV-153,100000,Finance,Utility bill
07-05-2025,6:37:26,Lucas-Smith,INV-151,2572.66,IT,Equipment
22-05-2025,4:06:22,Dunn-Harris,INV-136,1086.78,IT,Software purchase
13-04-2025,12:43:19,Lucas-Smith,INV-149,4223.79,HR,Software purchase
20-04-2025,6:24:43,"Velazquez, Santos and Davenport",INV-100,2497.54,Marketing,Travel expenses
09-05-2025,22:26:43,Combs-Fitzpatrick,INV-192,3181.38,Marketing,Utility bill
16-06-2025,22:20:41,Hobbs Inc,INV-152,5804.7,IT,Training
30-06-2025,1:46:31,Combs-Fitzpatrick,INV-160,3242.91,Finance,Utility bill
07-05-2025,0:34:47,Smith-Lyons,INV-162,2370.05,Marketing,Equipment
22-06-2025,14:14:52,Marks Ltd,INV-109,100000,Finance,Software purchase
27-05-2025,20:59:16,White Inc,INV-134,2247.96,HR,Training
01-06-2025,9:49:12,Combs-Fitzpatrick,INV-114,3147.04,HR,Software purchase
23-06-2025,22:06:18,"Young, Murphy and Melton",INV-105,3135.99,Finance,Utility bill
13-06-2025,6:05:02,"Jefferson, Gallagher and Tucker",INV-145,4669.32,Operations,
13-04-2025,16:42:24,"Moss, Hale and Cardenas",INV-115,2118.76,Finance,Training
03-05-2025,6:07:09,"Hunter, Garcia and Acevedo",INV-109,181.56,IT,Utility bill
07-05-2025,18:17:00,"Mendoza, Aguirre and Reed",INV-117,3336.16,Marketing,Consulting fee
11-05-2025,13:58:51,Hobbs Inc,INV-119,1329.98,Marketing,
19-05-2025,2:37:43,"Hunter, Garcia and Acevedo",INV-119,3004.35,HR,License renewal
30-05-2025,4:18:48,"Salinas, Aguirre and Wilson",INV-112,1454.54,Operations,
27-05-2025,20:57:37,"Velazquez, Santos and Davenport",INV-143,10000,Marketing,
28-05-2025,20:41:54,Hobbs Inc,INV-195,522.81,Operations,
13-05-2025,21:30:58,Murray Inc,INV-140,6454.54,HR,Travel expenses
03-06-2025,9:08:06,Smith-Lyons,INV-168,3381.16,HR,License renewal
24-06-2025,17:42:33,"Young, Murphy and Melton",INV-129,4153.53,Operations,Software purchase
15-05-2025,11:29:30,Combs-Fitzpatrick,INV-118,3458.49,HR,Software purchase
26-05-2025,22:53:35,"Young, Murphy and Melton",INV-176,2140.74,Finance,Office supplies
08-06-2025,10:58:07,Young Inc,INV-147,4626.66,HR,Consulting fee
03-06-2025,17:30:54,"Mendoza, Aguirre and Reed",INV-128,2441.16,Marketing,Maintenance
05-04-2025,3:11:32,"Walters, Newton and Patterson",INV-106,2782.67,HR,Consulting fee
20-04-2025,2:15:32,Lucas-Smith,INV-117,5810.35,HR,Utility bill
04-04-2025,21:38:17,"Russo, Fitzgerald and Guzman",INV-117,1488.11,HR, 
16-04-2025,17:58:07,Smith-Lyons,INV-194,4834.62,IT,
27-06-2025,3:37:03,Murray Inc,INV-133,3225.41,HR,Maintenance
19-05-2025,16:07:18,"Salinas, Aguirre and Wilson",INV-119,4540.35,Marketing,
13-06-2025,0:01:11,Murray Inc,INV-199,5479.84,IT,Consulting fee
17-06-2025,1:27:54,Gonzalez-Santiago,INV-188,6964.12,Operations,Equipment
22-05-2025,6:03:36,"Friedman, Adkins and Lee",INV-146,2876.77,IT,Office supplies
29-05-2025,16:25:32,"Hunter, Garcia and Acevedo",INV-115,1674.86,HR,Software purchase
21-06-2025,18:41:43,Hobbs Inc,INV-110,2797.21,Finance, 
29-06-2025,1:53:53,Murray Inc,INV-140,2858.25,HR,
26-06-2025,19:40:45,"Jefferson, Gallagher and Tucker",INV-162,1584.96,Marketing,
26-04-2025,16:47:10,"Velazquez, Santos and Davenport",INV-158,1558.77,Marketing,Office supplies
24-06-2025,16:09:10,Lucas-Smith,INV-190,2134.62,HR, 
12-06-2025,1:50:29,Hobbs Inc,INV-102,4726.77,IT,Utility bill
11-05-2025,17:43:44,"Young, Murphy and Melton",INV-129,2065.56,IT,
14-05-2025,16:52:05,Murray Inc,INV-142,100000,HR,License renewal
12-05-2025,7:19:39,"Hunter, Garcia and Acevedo",INV-142,2542.5,Finance, 
05-05-2025,8:35:33,Marks Ltd,INV-161,2188.6,Marketing,Training
18-05-2025,5:11:14,"Mendoza, Aguirre and Reed",INV-160,404.29,IT,Office supplies
26-06-2025,23:46:17,Gonzalez-Santiago,INV-121,3033.42,Marketing,Travel expenses
13-05-2025,22:01:30,Smith-Lyons,INV-153,1438.95,IT,Consulting fee
11-06-2025,14:53:59,"Jefferson, Gallagher and Tucker",INV-182,4682.09,Finance,License renewal
13-06-2025,16:19:48,"Walters, Newton and Patterson",INV-187,1285.91,Finance, 
16-05-2025,17:34:34,"Velazquez, Santos and Davenport",INV-172,3416.1,HR,
18-06-2025,17:20:30,Gonzalez-Santiago,INV-148,3626.48,Operations,License renewal
07-06-2025,17:02:40,Marks Ltd,INV-180,3692.14,HR,License renewal
05-04-2025,17:20:37,"Salinas, Aguirre and Wilson",INV-105,6047.68,IT,
13-04-2025,6:52:32,"Young, Murphy and Melton",INV-166,3249.56,Operations,Office supplies
11-05-2025,2:13:16,White Inc,INV-180,566.13,Marketing,Training
29-05-2025,15:29:12,Gonzalez-Santiago,INV-196,3500.44,Marketing,Equipment
08-06-2025,12:40:45,"Moss, Hale and Cardenas",INV-111,3052.38,Finance,Maintenance
21-04-2025,5:49:44,"Russo, Fitzgerald and Guzman",INV-145,5849.67,Marketing,Utility bill
08-05-2025,2:17:37,"Friedman, Adkins and Lee",INV-103,1579.84,Marketing,Travel expenses
15-05-2025,20:10:03,"Salinas, Aguirre and Wilson",INV-126,498.42,Marketing,Training
20-04-2025,18:43:53,"Mendoza, Aguirre and Reed",INV-110,2466.09,Marketing, 
18-04-2025,13:00:52,"Salinas, Aguirre and Wilson",INV-121,2195.94,Operations,Consulting fee
29-04-2025,4:08:21,Murray Inc,INV-123,1483.15,Finance, 
24-06-2025,21:31:21,"Young, Murphy and Melton",INV-192,4010.09,Finance,Consulting fee
05-06-2025,0:39:41,"Mendoza, Aguirre and Reed",INV-187,3527.38,IT,Software purchase
08-04-2025,16:24:16,Young Inc,INV-163,1989.96,Operations, 
19-05-2025,16:22:28,"Jefferson, Gallagher and Tucker",INV-180,2958.54,HR, 
31-05-2025,13:58:26,Lucas-Smith,INV-128,3604.02,Operations,
20-05-2025,20:45:22,"Moss, Hale and Cardenas",INV-136,4612.16,IT,Office supplies
18-05-2025,2:42:46,"Mendoza, Aguirre and Reed",INV-171,3656.46,Marketing,Software purchase
07-06-2025,7:14:18,Combs-Fitzpatrick,INV-180,7000,Finance,Office supplies
23-04-2025,19:41:36,"Velazquez, Santos and Davenport",INV-104,2837.6,HR,Training
15-04-2025,8:31:38,White Inc,INV-192,4166.49,Marketing,Consulting fee
01-06-2025,13:37:02,"Moss, Hale and Cardenas",INV-157,4025.34,Operations,Consulting fee
16-06-2025,7:57:19,"Friedman, Adkins and Lee",INV-129,4000,Finance,Consulting fee
15-04-2025,23:14:49,Murray Inc,INV-195,4345.76,HR,Equipment
17-05-2025,6:52:28,"Velazquez, Santos and Davenport",INV-101,3897.97,Finance,License renewal
30-06-2025,11:27:49,Marks Ltd,INV-142,4390.52,Operations,Travel expenses
07-04-2025,21:36:54,Smith-Lyons,INV-107,4867.81,IT,Office supplies
31-05-2025,0:32:47,"Walters, Newton and Patterson",INV-198,1856.77,Finance,Travel expenses
11-04-2025,17:51:08,"Velazquez, Santos and Davenport",INV-168,4712.95,Operations,Office supplies
31-05-2025,9:41:12,Combs-Fitzpatrick,INV-109,2764.38,HR,Office supplies
01-05-2025,13:04:28,Combs-Fitzpatrick,INV-101,476.4,IT,Consulting fee
12-06-2025,21:06:33,"Hunter, Garcia and Acevedo",INV-125,1716.06,Operations,Utility bill
03-06-2025,1:42:59,"Friedman, Adkins and Lee",INV-106,5489.96,Finance,Consulting fee
30-06-2025,5:49:57,Hobbs Inc,INV-172,4550.81,Operations, 
08-04-2025,11:26:34,Marks Ltd,INV-147,4240.61,IT,Software purchase
24-06-2025,4:20:21,"Walters, Newton and Patterson",INV-143,3758.99,Finance,Utility bill
26-04-2025,8:12:20,"Velazquez, Santos and Davenport",INV-125,3447.87,HR,Utility bill
19-05-2025,4:27:16,Lucas-Smith,INV-124,3222.45,Operations,License renewal
10-04-2025,3:15:07,Lucas-Smith,INV-113,1009.12,Operations,Training
21-04-2025,15:29:54,"Velazquez, Santos and Davenport",INV-153,3791.76,IT,Maintenance
22-06-2025,23:01:22,Marks Ltd,INV-191,5197.53,IT, 
10-05-2025,22:30:49,"Young, Murphy and Melton",INV-179,2566.68,IT,Consulting fee
03-05-2025,7:33:32,Lucas-Smith,INV-164,4124.08,Finance, 
31-05-2025,9:18:06,"Jefferson, Gallagher and Tucker",INV-146,8316.66,Operations,Equipment
15-05-2025,1:11:16,Hobbs Inc,INV-100,3953.17,HR,Consulting fee
23-04-2025,18:00:33,"Young, Murphy and Melton",INV-170,2429.97,Marketing,Training
14-04-2025,20:27:28,Lucas-Smith,INV-156,7095.61,Finance,Utility bill
08-04-2025,17:38:07,Young Inc,INV-165,3342.94,Finance,Office supplies
01-07-2025,14:48:27,"Jefferson, Gallagher and Tucker",INV-171,4729.69,Marketing, 
12-04-2025,5:21:24,"Hunter, Garcia and Acevedo",INV-163,1480.44,Finance,Training
08-05-2025,3:57:11,"Jefferson, Gallagher and Tucker",INV-115,3839.85,HR,Equipment
22-04-2025,18:48:08,"Russo, Fitzgerald and Guzman",INV-113,5000,Finance,
06-05-2025,9:03:13,Marks Ltd,INV-129,2292.27,IT,Equipment
20-06-2025,4:10:58,"Salinas, Aguirre and Wilson",INV-127,4163.18,Marketing,Office supplies
05-06-2025,19:40:43,"Young, Murphy and Melton",INV-174,4456.8,Operations,
10-06-2025,4:52:28,"Salinas, Aguirre and Wilson",INV-128,2818.46,HR, 
01-07-2025,2:09:35,"Young, Murphy and Melton",INV-136,4566.29,Finance, 
08-05-2025,15:37:19,"Russo, Fitzgerald and Guzman",INV-194,1037.34,Operations, 
28-06-2025,23:18:20,Dunn-Harris,INV-195,5427.9,HR,
24-05-2025,21:53:40,"Jefferson, Gallagher and Tucker",INV-136,5214.78,HR,Travel expenses
29-06-2025,10:26:47,Smith-Lyons,INV-124,4143.64,Marketing,Training
03-06-2025,2:20:26,"Walters, Newton and Patterson",INV-156,75000,Operations,Travel expenses
24-05-2025,23:50:07,"Hunter, Garcia and Acevedo",INV-158,4624.12,IT,Travel expenses
19-04-2025,5:39:00,Lucas-Smith,INV-170,2539.99,Operations,Maintenance
21-04-2025,18:47:37,Young Inc,INV-118,1271.79,Marketing,Consulting fee
17-06-2025,22:23:37,Lucas-Smith,INV-138,3102.41,IT, 
20-05-2025,6:26:33,Combs-Fitzpatrick,INV-179,2642.93,HR,Travel expenses
27-05-2025,20:53:24,"Friedman, Adkins and Lee",INV-187,5573.86,Marketing,Consulting fee
05-05-2025,7:20:23,"Velazquez, Santos and Davenport",INV-132,875.68,Operations,Office supplies
05-05-2025,23:53:53,Marks Ltd,INV-144,2723.34,IT,Travel expenses
21-05-2025,14:24:01,"Velazquez, Santos and Davenport",INV-111,2143.04,HR,License renewal
04-04-2025,9:38:50,"Russo, Fitzgerald and Guzman",INV-109,3813.32,HR,Software purchase
02-05-2025,16:28:23,Dunn-Harris,INV-147,2181.86,Operations,Consulting fee
19-04-2025,12:18:51,Gonzalez-Santiago,INV-121,2568.12,HR,License renewal
06-05-2025,4:19:16,"Moss, Hale and Cardenas",INV-127,2591.29,Finance,Training
05-06-2025,22:24:48,White Inc,INV-186,3353.57,Marketing,License renewal
10-05-2025,17:13:53,Hobbs Inc,INV-148,3099.78,Marketing,Office supplies
28-06-2025,6:22:04,Smith-Lyons,INV-100,871.57,HR,Maintenance
03-05-2025,11:00:32,"Walters, Newton and Patterson",INV-159,4210.36,Marketing,
12-06-2025,4:54:00,"Hunter, Garcia and Acevedo",INV-137,4669.24,Operations,Software purchase
06-06-2025,2:24:55,Dunn-Harris,INV-127,1662.82,Operations,Software purchase
03-05-2025,19:47:44,Hobbs Inc,INV-186,3718.14,Marketing,Office supplies
22-04-2025,22:36:47,"Moss, Hale and Cardenas",INV-126,3153.96,HR,Software purchase
26-06-2025,20:37:19,"Velazquez, Santos and Davenport",INV-187,1461.92,IT,Consulting fee
09-06-2025,1:01:54,"Moss, Hale and Cardenas",INV-195,3901.06,IT,Maintenance
14-06-2025,4:22:32,"Jefferson, Gallagher and Tucker",INV-177,4454.1,HR,Office supplies
20-04-2025,7:00:42,Young Inc,INV-124,1783.6,Operations,Office supplies
19-04-2025,1:14:41,"Jefferson, Gallagher and Tucker",INV-116,859.63,Operations, 
16-06-2025,8:34:12,Smith-Lyons,INV-134,2222.14,IT,Training
25-05-2025,15:20:49,Gonzalez-Santiago,INV-101,3000,HR,Office supplies
18-06-2025,4:33:27,Dunn-Harris,INV-177,3085.67,HR,Software purchase
06-06-2025,17:32:03,"Mendoza, Aguirre and Reed",INV-114,2180.46,Operations,Consulting fee
31-05-2025,2:16:19,Young Inc,INV-164,50000,Finance,Travel expenses
29-04-2025,22:27:42,"Friedman, Adkins and Lee",INV-162,1287.44,Finance,Travel expenses
20-05-2025,1:06:50,Young Inc,INV-123,2855.95,Marketing,Training
01-06-2025,6:07:36,"Mendoza, Aguirre and Reed",INV-169,3370.61,HR,Training
12-05-2025,16:48:57,"Jefferson, Gallagher and Tucker",INV-166,2798.4,Operations, 
08-05-2025,17:01:12,Dunn-Harris,INV-163,1575.01,HR,Maintenance
16-06-2025,22:24:01,"Hunter, Garcia and Acevedo",INV-178,1727.27,Marketing,Training
13-05-2025,0:47:33,"Salinas, Aguirre and Wilson",INV-195,3897.7,Finance,Office supplies
27-06-2025,8:07:48,"Jefferson, Gallagher and Tucker",INV-186,4287.79,IT,Maintenance
08-05-2025,10:52:21,"Young, Murphy and Melton",INV-169,4423.96,Operations, 
23-04-2025,2:21:28,"Velazquez, Santos and Davenport",INV-111,5439.74,HR, 
11-06-2025,15:17:50,White Inc,INV-140,4093.36,HR,License renewal
28-06-2025,16:28:08,Combs-Fitzpatrick,INV-147,1039.52,HR,Office supplies
22-04-2025,21:43:37,Combs-Fitzpatrick,INV-133,10000,HR,Training
01-07-2025,8:45:51,Combs-Fitzpatrick,INV-199,1844.93,Finance,License renewal
30-06-2025,12:38:29,"Hunter, Garcia and Acevedo",INV-110,3756.49,Marketing, 
01-07-2025,20:42:55,"Friedman, Adkins and Lee",INV-192,4200.35,Marketing,Utility bill
14-04-2025,11:16:34,Dunn-Harris,INV-193,2587.73,Marketing,License renewal
25-05-2025,2:08:28,"Moss, Hale and Cardenas",INV-124,4397.74,Finance,Utility bill
17-06-2025,1:58:31,"Young, Murphy and Melton",INV-116,2414.8,Operations,
26-06-2025,8:49:07,"Walters, Newton and Patterson",INV-125,4181.48,Finance,Training
29-05-2025,18:38:24,"Friedman, Adkins and Lee",INV-169,162.8,HR,Utility bill
09-06-2025,19:44:03,Lucas-Smith,INV-107,75000,Finance,Utility bill
15-06-2025,0:26:05,"Velazquez, Santos and Davenport",INV-138,4879.4,Finance,Travel expenses
14-04-2025,3:11:51,Lucas-Smith,INV-135,4284.39,HR,Software purchase
12-04-2025,18:28:22,Young Inc,INV-140,2982.04,Operations,Maintenance
08-05-2025,4:04:41,"Salinas, Aguirre and Wilson",INV-164,100000,Marketing,Travel expenses
04-05-2025,16:03:43,Marks Ltd,INV-174,2583.42,HR,Equipment
15-06-2025,3:09:47,"Moss, Hale and Cardenas",INV-172,5481.03,Marketing,Software purchase
03-04-2025,19:17:51,White Inc,INV-115,5484.32,Operations,
02-05-2025,10:13:22,"Russo, Fitzgerald and Guzman",INV-121,2530.49,IT,Training
01-06-2025,7:32:52,"Velazquez, Santos and Davenport",INV-174,2560.43,Marketing,Equipment
07-06-2025,0:28:27,Lucas-Smith,INV-159,4256.42,Marketing,License renewal
08-04-2025,4:56:14,Gonzalez-Santiago,INV-182,3288.86,Operations,Office supplies
07-06-2025,19:19:47,Smith-Lyons,INV-101,3856.06,Finance,Equipment
21-06-2025,8:41:22,Murray Inc,INV-175,2314.98,Finance,License renewal
01-06-2025,19:22:16,Smith-Lyons,INV-183,2420.85,Finance,Consulting fee
25-05-2025,23:48:14,"Friedman, Adkins and Lee",INV-118,190.63,Operations,License renewal
02-06-2025,4:02:33,Gonzalez-Santiago,INV-191,2757.7,Operations,Equipment
03-04-2025,9:18:54,Combs-Fitzpatrick,INV-165,4282.36,Marketing,Training
13-06-2025,7:11:11,Gonzalez-Santiago,INV-155,2463.97,HR,Consulting fee
04-05-2025,21:13:59,Murray Inc,INV-173,4000,HR,Utility bill
11-05-2025,14:55:42,"Friedman, Adkins and Lee",INV-195,4672.81,IT,Equipment
30-05-2025,23:52:43,Hobbs Inc,INV-138,5352.88,Finance,Training
23-05-2025,8:43:06,Combs-Fitzpatrick,INV-110,4950.86,Finance,Software purchase
17-04-2025,13:34:32,"Walters, Newton and Patterson",INV-124,75000,IT,Travel expenses
20-04-2025,18:05:44,Murray Inc,INV-134,2051.76,HR,Training
08-05-2025,17:34:21,"Russo, Fitzgerald and Guzman",INV-165,262.58,Operations,Maintenance
08-06-2025,16:23:56,"Velazquez, Santos and Davenport",INV-185,3759.24,HR,
12-04-2025,8:28:24,"Moss, Hale and Cardenas",INV-177,2426.67,Marketing, 
16-05-2025,7:43:44,Combs-Fitzpatrick,INV-112,4933.25,IT,License renewal
16-04-2025,19:34:26,"Salinas, Aguirre and Wilson",INV-110,562.67,IT,Equipment
12-04-2025,17:31:15,"Velazquez, Santos and Davenport",INV-149,3940.64,Finance,Software purchase
29-04-2025,5:08:08,Murray Inc,INV-180,2000,IT,Software purchase
03-05-2025,7:07:49,Marks Ltd,INV-154,3465.03,Operations,Travel expenses
08-05-2025,1:04:38,Lucas-Smith,INV-141,3527.87,HR,Training
01-05-2025,13:53:07,"Moss, Hale and Cardenas",INV-115,5570.69,HR,Maintenance
20-05-2025,3:55:14,Marks Ltd,INV-121,3170.68,Finance,License renewal
04-06-2025,6:53:17,"Mendoza, Aguirre and Reed",INV-125,5096.96,HR,Software purchase
19-05-2025,6:55:02,"Young, Murphy and Melton",INV-138,2245.28,Marketing,Software purchase
20-06-2025,11:43:45,Murray Inc,INV-200,2249.48,HR, 
21-06-2025,9:41:14,Dunn-Harris,INV-128,102.73,HR,Equipment
30-06-2025,8:07:16,Smith-Lyons,INV-187,4189.59,Finance,License renewal
10-06-2025,14:09:10,"Russo, Fitzgerald and Guzman",INV-196,2689.63,IT,Equipment
19-04-2025,9:33:57,"Jefferson, Gallagher and Tucker",INV-139,5352.05,Finance,License renewal
14-05-2025,22:44:08,Young Inc,INV-175,1358,Finance,Equipment
21-04-2025,21:53:26,"Hunter, Garcia and Acevedo",INV-143,725.07,Operations, 
16-04-2025,10:51:28,Murray Inc,INV-161,1614.36,HR,Travel expenses
05-05-2025,21:09:16,Marks Ltd,INV-172,100000,Marketing, 
13-05-2025,22:50:36,White Inc,INV-132,3613.36,Marketing,Consulting fee
06-04-2025,15:16:44,"Mendoza, Aguirre and Reed",INV-105,576.73,HR,Office supplies
23-05-2025,13:54:21,Murray Inc,INV-191,75000,Finance,Consulting fee
10-06-2025,16:14:49,"Mendoza, Aguirre and Reed",INV-176,2508.01,HR,Training
07-05-2025,15:09:48,Smith-Lyons,INV-103,3001.52,Marketing,Equipment
12-06-2025,11:47:24,"Russo, Fitzgerald and Guzman",INV-173,3113.58,Finance,Training
15-04-2025,10:56:05,"Hunter, Garcia and Acevedo",INV-104,1737.21,Marketing,
19-06-2025,7:12:59,Murray Inc,INV-118,2609.73,IT,License renewal
27-04-2025,1:43:49,"Mendoza, Aguirre and Reed",INV-145,4390.78,Finance,Equipment
01-05-2025,19:06:46,"Jefferson, Gallagher and Tucker",INV-125,2228,Operations,Training
14-06-2025,9:02:35,Young Inc,INV-183,1370.67,Marketing,Utility bill
07-06-2025,16:43:15,Combs-Fitzpatrick,INV-148,3607.96,Finance,Maintenance
07-06-2025,18:45:56,"Friedman, Adkins and Lee",INV-164,2424.51,Operations,Equipment
20-06-2025,8:01:38,Lucas-Smith,INV-147,2255.54,Finance,Training
19-05-2025,12:47:11,"Jefferson, Gallagher and Tucker",INV-189,2500.88,Finance,Office supplies
01-06-2025,17:36:10,Combs-Fitzpatrick,INV-139,5004.21,Operations,Software purchase
25-05-2025,8:29:47,"Young, Murphy and Melton",INV-110,3154.19,HR,License renewal
13-06-2025,6:29:06,"Salinas, Aguirre and Wilson",INV-156,1767.64,Operations,Equipment
03-05-2025,6:44:17,Murray Inc,INV-126,4496.74,Finance,Travel expenses
20-06-2025,2:03:37,Marks Ltd,INV-155,3357.44,Marketing,Maintenance
20-04-2025,7:58:46,Gonzalez-Santiago,INV-190,75000,Operations,Equipment
18-05-2025,4:48:49,"Russo, Fitzgerald and Guzman",INV-144,1703.14,IT,Maintenance
13-06-2025,9:02:28,Combs-Fitzpatrick,INV-196,1273.85,Operations,
15-06-2025,20:49:21,"Friedman, Adkins and Lee",INV-122,3040.59,Finance,Software purchase
06-06-2025,10:25:50,"Friedman, Adkins and Lee",INV-194,3919.24,Operations, 
02-05-2025,16:20:23,Hobbs Inc,INV-112,2153.92,Operations,Consulting fee
07-06-2025,22:23:13,Murray Inc,INV-146,2185.54,Operations,License renewal
26-05-2025,13:44:02,White Inc,INV-123,2997.01,Operations,Office supplies
19-06-2025,0:49:53,Gonzalez-Santiago,INV-123,2725.52,IT, 
29-06-2025,10:34:19,"Russo, Fitzgerald and Guzman",INV-140,3841.21,Operations,
12-06-2025,5:54:13,"Walters, Newton and Patterson",INV-150,2915.16,Finance,License renewal
17-06-2025,22:57:43,White Inc,INV-127,5256.44,Marketing,Utility bill
