Date,Time,Vendor Name,Invoice No,Amount,Department,Description,DayOfWeek,SecondsSinceMidnight,RollingVendorSpend,InvoiceDeviation,IF_Score,Anomaly_IF,Anomaly_LOF,LOF_Score,OCSVM_Score,Anomaly_OCSVM,FraudRiskScore
2025-04-23,23:15:10,Combs-Fitzpatrick,INV-126,4158.82,Marketing,Office supplies,2,83710,140555.61000000002,0.8773730639413281,-0.08058431472017713,1,-1,1.2148022222935797,-0.23898902655287202,1,28.764101945172353
2025-04-23,19:44:30,Combs-Fitzpatrick,INV-133,2232.62,Marketing,License renewal,2,71070,142788.23,0.4710087597002726,-0.08720716867459316,1,1,1.1349789544664057,-0.772332937691683,1,19.890207559829623
2025-04-25,21:13:33,Combs-Fitzpatrick,INV-166,3954.74,Marketing,,4,76413,146742.97,0.8343189536674652,-0.08484837766379133,1,-1,1.2541759541475337,-0.5857769987430181,1,24.301622397904396
2025-04-26,00:45:37,Combs-Fitzpatrick,INV-120,719.23,Marketing,Maintenance,5,2737,147462.2,0.15173367175749886,-0.07576883299037479,1,1,1.1292792050501617,-0.0004198564413897543,1,31.024298783637715
2025-04-26,04:31:26,Combs-Fitzpatrick,INV-172,4446.41,IT,Training,5,16286,151908.61000000002,0.9380450140278638,-0.08718228658926447,1,1,1.1188605435429424,-0.8527637023154426,1,18.508213109604764
2025-04-27,01:50:16,Combs-Fitzpatrick,INV-178,3381.99,Operations,Software purchase,6,6616,155290.6,0.7134877028866198,-0.0872523591540853,1,1,1.1341429869639355,-0.3213050190282587,1,26.33522054813055
2025-04-29,02:16:15,Combs-Fitzpatrick,INV-173,5384.14,HR,Equipment,1,8175,160674.74000000002,1.1358749377200894,-0.07356220783652923,1,1,1.1462805135938074,-0.49044060621897856,1,24.28339786034529
2025-04-30,04:33:11,Combs-Fitzpatrick,INV-167,2633.26,Marketing,Travel expenses,2,16391,163308.0,0.5555305097008627,-0.08848803761512963,1,1,1.0484106267350755,-0.7291555005758426,1,19.250615996151616
2025-05-01,13:04:28,Combs-Fitzpatrick,INV-101,476.4,IT,Consulting fee,3,47068,163784.4,0.10050459689566961,-0.09317921026922954,1,1,1.0673929412457288,-1.1519319196988604,1,13.402094697172313
2025-05-02,16:19:33,Combs-Fitzpatrick,INV-116,2253.68,IT,Office supplies,4,58773,166038.08000000002,0.4754517210995648,-0.09415223608325807,1,1,0.9899941283702495,-1.0756861213950906,1,13.371654940416116
2025-05-02,14:32:15,Combs-Fitzpatrick,INV-164,3852.47,Operations,License renewal,4,52335,169890.55000000002,0.8127433761600762,-0.09757878645729645,1,1,1.005160921347271,-1.2846720948896824,1,10.54757308862444
2025-05-05,09:09:32,Combs-Fitzpatrick,INV-199,1169.42,Marketing,Training,0,32972,171059.97,0.24670882808928205,-0.08607126416548005,1,1,0.9772847828319117,-1.1160147511128713,1,12.727979375602427
2025-05-06,04:26:45,Combs-Fitzpatrick,INV-174,6128.09,Marketing,Equipment,1,16005,177188.06,1.2928237094676407,-0.08031226687916071,1,1,0.9946253674920553,-0.9075147886099835,1,16.043924757061916
2025-05-08,22:10:34,Combs-Fitzpatrick,INV-198,4743.19,HR,Travel expenses,3,79834,181931.25,1.000655749264423,-0.0807204293474722,1,1,1.0096152734009025,-0.3991547945484193,1,23.531185767722985
2025-05-09,22:26:43,Combs-Fitzpatrick,INV-192,3181.38,Marketing,Utility bill,4,80803,180830.27000000002,0.6711656475061827,-0.08346601694653039,1,1,1.0183692052117765,-0.25979960189622986,1,25.612440071753912
2025-05-11,02:05:35,Combs-Fitzpatrick,INV-160,4000.0,HR,Maintenance,6,7535,181525.85,0.84386731230621,-0.06997630518811754,1,1,0.9955652774815874,-0.40933703172445846,1,23.33806866709444
2025-05-11,14:53:27,Combs-Fitzpatrick,INV-162,3604.09,Operations,Consulting fee,6,53607,178966.73,0.7603434354024221,-0.09287625988101972,1,1,1.0195328043786893,-1.2674353685312454,1,11.067460741636532
2025-05-15,11:29:30,Combs-Fitzpatrick,INV-118,3458.49,HR,Software purchase,3,41370,107425.22,0.7296266652344761,-0.0917496128948167,1,-1,1.271066247835948,-1.7704917316018083,1,7.482391670250305
2025-05-16,07:43:44,Combs-Fitzpatrick,INV-112,4933.25,IT,License renewal,4,27824,110707.65,1.0407521046086528,-0.0950182461832435,1,1,1.0774762582322297,-1.6036181346537681,1,7.0530786138334705
2025-05-16,09:40:22,Combs-Fitzpatrick,INV-192,1689.38,Finance,Equipment,4,34822,108780.92000000001,0.3564031400159663,-0.11491701334773313,1,1,1.052725222667757,-1.6200816607696886,1,6.1780835398551535
2025-05-18,23:21:56,Combs-Fitzpatrick,INV-129,3484.16,HR,Equipment,6,84116,108863.37999999999,0.7350421837112011,-0.07765256825475664,1,1,1.0805659333406161,-0.4929978731169946,1,23.24734604706309
2025-05-20,06:26:33,Combs-Fitzpatrick,INV-179,2642.93,HR,Travel expenses,1,23193,108094.83,0.5575705589283628,-0.08600297575206056,1,1,1.1019513158396044,-1.402206271156416,1,10.416309914526105
2025-05-21,04:34:46,Combs-Fitzpatrick,INV-165,2480.36,Finance,Equipment,2,16486,105457.04000000001,0.5232736816879578,-0.11043263632566153,1,1,1.0156438406116641,-1.174215000362448,1,12.095105562892309
2025-05-23,08:43:06,Combs-Fitzpatrick,INV-110,4950.86,Finance,Software purchase,4,31386,108122.89,1.0444672304510807,-0.11385980863291817,1,1,0.9999604336046716,-1.710065473636213,1,4.149405394982151
2025-05-24,01:47:50,Combs-Fitzpatrick,INV-161,4177.33,Operations,Maintenance,5,6470,106659.84000000001,0.8812780599290251,-0.08860281464578623,1,1,1.0006813428701278,-0.7375489633957848,1,18.445430660089492
2025-05-30,04:04:53,Combs-Fitzpatrick,INV-159,2366.72,Operations,Maintenance,4,14693,106447.26000000001,0.4992994113453383,-0.09365637365941282,1,1,0.9937008681266318,-1.0813641076886356,1,13.350531007948696
2025-05-31,09:41:12,Combs-Fitzpatrick,INV-109,2764.38,HR,Office supplies,5,34872,105978.37999999999,0.5831924801982602,-0.09091009506094228,1,1,1.0048559528293377,-1.6991602310384657,1,4.704218489364062
2025-06-01,09:49:12,Combs-Fitzpatrick,INV-114,3147.04,HR,Software purchase,6,35352,105343.33,0.6639210466300338,-0.0862591725935768,1,1,1.0174056204080326,-1.7288439330034322,1,4.525490515558434
2025-06-01,17:36:10,Combs-Fitzpatrick,INV-139,5004.21,Operations,Software purchase,6,63370,100347.54,1.0557223107289648,-0.08939347140843373,1,1,1.00127272278443,-1.6009796628107225,1,6.080337983033371
2025-06-02,07:30:19,Combs-Fitzpatrick,INV-175,4652.99,Marketing,License renewal,0,27019,102072.03,0.981626541371918,-0.08590549838973183,1,1,0.9704258341372217,-1.6584993094060287,1,4.865082240367064
2025-06-05,22:10:10,Combs-Fitzpatrick,INV-171,2476.59,IT, ,3,79810,100389.8,0.5224783367461092,-0.08487256027131179,1,1,0.9964430524353831,-0.7897914344489116,1,17.690170968848744
2025-06-06,04:25:59,Combs-Fitzpatrick,INV-125,3399.81,HR,License renewal,4,15959,101556.98999999999,0.717247131762944,-0.08491327170649365,1,1,0.9958138850240855,-1.2287137141982818,1,11.396274357404865
2025-06-07,07:14:18,Combs-Fitzpatrick,INV-180,7000.0,Finance,Office supplies,5,26058,104602.25,1.4767677965358674,-0.10239238315308347,1,1,0.981412078240254,-1.6971802397135534,1,4.232508991810929
2025-06-07,16:43:15,Combs-Fitzpatrick,INV-148,3607.96,Finance,Maintenance,5,60195,107490.98,0.7611598770270784,-0.11125027919835856,1,1,1.0391893560673284,-1.5626068886581415,1,6.859681171400406
2025-06-10,08:31:13,Combs-Fitzpatrick,INV-200,2988.67,Operations,Training,1,30673,106033.24,0.6305102300675501,-0.09475146572662135,1,1,0.9861217206314474,-1.635818460578097,1,5.287891421380443
2025-06-11,18:54:20,Combs-Fitzpatrick,INV-177,2394.02,Marketing,Travel expenses,2,68060,105045.27,0.5050588057518283,-0.0879618884305744,1,1,0.9873670077834152,-1.285006276758228,1,10.425713325060768
2025-06-13,09:02:28,Combs-Fitzpatrick,INV-196,1273.85,Operations,,4,32548,100934.98,0.2687400939453164,-0.09762426812435238,1,1,0.9780417781461359,-1.6512464249752092,1,4.910183462994168
2025-06-14,21:18:19,Combs-Fitzpatrick,INV-184,2882.03,Operations,Training,5,76699,101183.75,0.6080127275214666,-0.08498882271954844,1,1,0.9827060035148433,-0.9623307715704037,1,15.02147901019735
2025-06-19,16:04:38,Combs-Fitzpatrick,INV-128,3131.79,Marketing,Training,3,57878,103839.14,0.6607038025018663,-0.09643469755185635,1,1,1.03879225929361,-1.6381205314734686,1,5.984946260799495
2025-06-21,03:15:49,Combs-Fitzpatrick,INV-153,5913.92,Finance,,5,11749,107499.38,1.2476409438984855,-0.10580793311338638,1,1,1.001068909580013,-1.075407383352676,1,13.367328485415714
2025-06-28,16:28:08,Combs-Fitzpatrick,INV-147,1039.52,HR,Office supplies,5,59288,104686.43000000001,0.21930423712213787,-0.08700521778717257,1,1,1.031927925164358,-1.5047055824900397,1,7.9318523645826335
2025-06-30,01:46:31,Combs-Fitzpatrick,INV-160,3242.91,Finance,Utility bill,0,6391,106759.92,0.6841464364377329,-0.10431250737782177,1,1,1.000797004756463,-0.694720853267782,1,18.835356813135974
2025-07-01,08:45:51,Combs-Fitzpatrick,INV-199,1844.93,Finance,License renewal,1,31551,102476.76,0.389219030123274,-0.1112682750427596,1,1,0.9776628092525297,-1.6415916754270512,1,4.847641026914511
2025-04-03,17:08:14,Dunn-Harris,INV-142,2984.2,Marketing,Equipment,3,61694,2984.2,0.7508427229559682,-0.02446030791914272,1,1,1.0159024352807826,-0.18953333632285307,1,27.427983939810645
2025-04-03,10:47:46,Dunn-Harris,INV-121,1205.65,IT,Utility bill,3,38866,4189.85,0.30334881339449876,-0.03930161042343594,1,1,1.0428100711206896,-0.4276920807892921,1,24.19088738914685
2025-04-07,05:12:02,Dunn-Harris,INV-164,5277.54,Marketing,Consulting fee,0,18722,9467.39,1.32786090212085,-0.01104308236762519,1,1,1.0487562535818993,-0.29019254251200977,1,26.64927698624277
2025-04-07,18:45:48,Dunn-Harris,INV-194,5104.93,Marketing,Training,0,67548,14572.32,1.2844311848065182,-0.014030609722337661,1,1,1.0158759533042263,-0.586789586954616,1,21.88918404359157
2025-04-08,19:15:19,Dunn-Harris,INV-166,4676.6,IT,License renewal,1,69319,19248.92,1.1766607727953493,-0.019999959367248743,1,1,1.0397673426621048,-0.6989765676942596,1,20.53953805627264
2025-04-14,11:16:34,Dunn-Harris,INV-193,2587.73,Marketing,License renewal,0,40594,21836.65,0.6510884791484645,-0.027420382982445868,1,1,1.0062805704268227,-1.231388601114407,1,12.330993195263188
2025-04-16,05:23:05,Dunn-Harris,INV-158,1713.8,Marketing,Utility bill,2,19385,23550.45,0.4312024189403989,-0.025675940740019887,1,1,0.9913018300455867,-0.8104502278154833,1,18.168329569320903
2025-04-17,12:20:38,Dunn-Harris,INV-125,3216.43,IT,License renewal,3,44438,26766.88,0.8092731919433231,-0.04453957228154681,1,1,1.0244123608236861,-1.417659270271983,1,9.67854568453248
2025-04-19,08:19:35,Dunn-Harris,INV-198,3680.6,Marketing,Office supplies,5,29975,30447.48,0.9260611641685332,-0.028851255196568226,1,1,1.0600465020714176,-1.3800042933883319,1,10.952487375831135
2025-04-29,03:45:07,Dunn-Harris,INV-175,1684.29,HR,Training,1,13507,32131.77,0.42377752491371484,-0.0332884069939009,1,1,1.0322039839037647,-0.8118569463218073,1,18.6248165817587
2025-05-02,16:28:23,Dunn-Harris,INV-147,2181.86,Operations,Consulting fee,4,59303,34313.63,0.548969138633037,-0.047436061478646596,1,1,0.98158743314311,-1.419059629738605,1,9.003875805511136
2025-05-08,17:01:12,Dunn-Harris,INV-163,1575.01,HR,Maintenance,3,61272,35888.64,0.3962820176539373,-0.04461128357344457,1,1,0.9844229935925025,-1.3900873325975311,1,9.499731391033443
2025-05-10,15:12:58,Dunn-Harris,INV-152,2414.03,Finance,Consulting fee,5,54778,38302.67,0.6073845112584265,-0.06821789655524935,1,1,0.9809308222036947,-1.6065264911353054,1,6.012857015191058
2025-05-13,17:52:39,Dunn-Harris,INV-138,3892.67,IT,License renewal,1,64359,42195.34,0.9794192555354899,-0.03503634368319797,1,1,0.9835190440310756,-1.482606640079048,1,8.29922626626433
2025-05-14,19:57:38,Dunn-Harris,INV-148,3206.05,Finance,Training,2,71858,45401.39,0.8066615213232968,-0.06473201280786162,1,1,1.0065718400232544,-1.2352807971381523,1,11.745224331716878
2025-05-18,00:29:23,Dunn-Harris,INV-165,2777.34,Operations,Equipment,6,1763,48178.73,0.69879549901968,-0.03163912758830473,1,1,1.1459672609660687,-0.49463628997023434,1,24.819077919040588
2025-05-18,12:18:02,Dunn-Harris,INV-154,2421.95,IT,License renewal,6,44282,50600.68,0.6093772310378686,-0.03979270177323713,1,1,1.001539052631565,-1.8962137395893315,1,2.5672762580514346
2025-05-19,10:30:33,Dunn-Harris,INV-130,1999.4,IT,License renewal,0,37833,52600.08,0.5030611018960401,-0.03787729204270052,1,1,1.0139146962694545,-1.8752881081357629,1,3.0714940174751644
2025-05-21,14:42:03,Dunn-Harris,INV-116,3000.0,IT,Utility bill,2,52923,55600.08,0.7548180982735423,-0.04649199505158608,1,1,1.004837762605248,-1.897174858499799,1,2.504827230571865
2025-05-22,04:06:22,Dunn-Harris,INV-136,1086.78,IT,Software purchase,3,14782,56686.86,0.2734404042805734,-0.04211926379815356,1,1,0.9748706542749785,-1.2401886682891075,1,11.544831051090636
2025-05-24,02:46:30,Dunn-Harris,INV-142,2222.6,HR,Equipment,5,9990,58909.46,0.5592195684075917,-0.033639662087260824,1,1,0.9854056255072642,-1.0551771957667135,1,14.465990610223372
2025-05-27,06:45:51,Dunn-Harris,INV-138,34.23,Marketing,Software purchase,1,24351,58943.69,0.008612474501301117,-0.026568309223663433,1,1,1.0028216490041166,-1.5850481788661206,1,7.230119569907595
2025-05-29,13:11:07,Dunn-Harris,INV-161,2813.89,IT,License renewal,3,47467,61757.58,0.7079916995169793,-0.048282997962051266,1,1,1.004358137891005,-1.9841359802577863,1,1.2272443754388784
2025-06-03,04:22:36,Dunn-Harris,INV-116,2682.08,HR,Maintenance,1,15756,64439.66,0.6748275083391674,-0.03647134878403063,1,1,0.9889698668591655,-1.370896804490819,1,9.956137753461968
2025-06-04,04:10:38,Dunn-Harris,INV-170,4813.62,Marketing, ,2,15038,69253.28,1.2111358314038294,-0.030142961022486314,1,1,0.9965070945806176,-1.4117906840954824,1,9.569158375777098
2025-06-06,02:24:55,Dunn-Harris,INV-127,1662.82,Operations,Software purchase,4,8695,70916.1,0.41837554339040384,-0.04404245755542113,1,1,1.0087751532865394,-0.9975741974629777,1,15.476378488401304
2025-06-09,02:46:37,Dunn-Harris,INV-155,3891.16,IT,Training,0,9997,74807.26,0.9790393304260255,-0.02887782050203941,1,1,1.0032421895515795,-1.134497814141973,1,13.65386569941002
2025-06-09,03:41:52,Dunn-Harris,INV-138,3910.48,HR,Software purchase,0,13312,78717.74,0.9839003589789072,-0.024681510224517866,1,1,1.0016601306866229,-1.2898979120577927,1,11.466341871289353
2025-06-10,15:23:16,Dunn-Harris,INV-138,2857.61,Operations,Software purchase,1,55396,81575.35,0.7189919152691524,-0.04795046558466681,1,1,1.002331929551885,-1.868454755200549,1,2.859270413597937
2025-06-10,01:11:13,Dunn-Harris,INV-111,2000.0,Marketing,Consulting fee,1,4273,83575.35,0.5032120655156949,-0.025285134119359287,1,1,1.023716650865864,-0.7149178498820206,1,20.005819436577674
2025-06-18,04:33:27,Dunn-Harris,INV-177,3085.67,HR,Software purchase,2,16407,83676.82,0.7763731870999071,-0.04051344146835967,1,1,0.9711840204875056,-1.378395612773442,1,9.536249654709827
2025-06-21,09:41:14,Dunn-Harris,INV-128,102.73,HR,Equipment,5,34874,82573.9,0.025847487745213667,-0.03834722165620269,1,1,1.0187500772048264,-1.8003754209874465,1,4.206565235926588
2025-06-22,00:30:45,Dunn-Harris,INV-136,3140.04,Operations,Travel expenses,6,1845,80436.4,0.7900530071009512,-0.03079427753651548,1,1,1.051416577890247,-0.6205134064534583,1,21.675181116492794
2025-06-25,00:13:39,Dunn-Harris,INV-112,50000.0,Operations,Office supplies,2,819,125331.47,12.58030163789237,0.019620457193937235,-1,-1,2.655587663215699,-0.7717884460395297,1,43.198955920321765
2025-06-26,03:14:03,Dunn-Harris,INV-174,5360.42,IT,Travel expenses,3,11643,126015.29000000001,1.3487140101158206,-0.03304328242671284,1,1,1.019227458811781,-0.870813714434977,1,17.59841537589477
2025-06-27,02:54:07,Dunn-Harris,INV-152,3094.65,Operations,License renewal,4,10447,126522.21,0.7786326092740725,-0.04480536394447626,1,1,1.0249033921478405,-0.7061931204665441,1,19.868245243473414
2025-06-28,23:18:20,Dunn-Harris,INV-195,5427.9,HR,,5,83900,130236.31,1.3656923852063199,-0.0241616526491642,1,1,1.1056511219422795,-0.3702599527458297,1,26.12967602578127
2025-06-28,17:24:31,Dunn-Harris,INV-125,3.08,Finance,Maintenance,5,62671,127022.95999999999,0.0007749465808941701,-0.06383925954954983,1,1,1.0039537272370378,-1.1064218027974562,1,13.5654705251537
2025-06-28,19:46:38,Dunn-Harris,INV-152,2815.64,Finance,Office supplies,5,71198,126158.0,0.7084320100743055,-0.0647279619538349,1,1,0.997469099197367,-0.9464610602369703,1,15.750153252745664
2025-06-29,08:48:42,Dunn-Harris,INV-189,2373.22,Finance,Office supplies,6,31722,126846.93,0.5971164690615786,-0.06225096653904938,1,1,0.9728876011280457,-1.4040440187468697,1,8.882188874084743
2025-04-06,19:59:32,"Friedman, Adkins and Lee",INV-118,1501.63,Operations,Office supplies,6,71972,1501.63,0.260737788220609,-0.0076763269474776075,1,1,1.1424065595142279,0.2524349169650826,-1,35.80743962280413
2025-04-06,01:40:47,"Friedman, Adkins and Lee",INV-109,3000.0,HR,Software purchase,6,6047,4501.63,0.5209095214279329,-0.016253506785654237,1,1,1.186235113659002,0.564949126645395,-1,40.78660175714134
2025-04-08,13:53:42,"Friedman, Adkins and Lee",INV-113,4169.17,Operations,Maintenance,1,50022,8670.8,0.7239201164838984,-0.024328399411292112,1,1,0.981388380202073,-0.6963327700439059,1,19.6795724912192
2025-04-08,03:46:35,"Friedman, Adkins and Lee",INV-167,4311.0,Finance,Equipment,1,13595,12981.8,0.7485469822919396,-0.05309116922175128,1,1,1.0342099997403886,-0.21977681302597674,1,26.84716584838988
2025-04-14,08:11:14,"Friedman, Adkins and Lee",INV-170,2239.23,Marketing,Equipment,0,29474,15221.03,0.38881207588902345,-0.017797024301396736,1,1,0.9855337317038417,-0.8159437765311637,1,18.11989704757822
2025-04-20,22:57:31,"Friedman, Adkins and Lee",INV-199,4449.16,IT,License renewal,6,82651,19670.190000000002,0.7725366021187673,-0.009582903819338628,1,1,1.1245898701669292,-0.0767625150121738,1,30.81173904648864
2025-04-20,05:17:44,"Friedman, Adkins and Lee",INV-163,3937.16,HR,Training,6,19064,23607.35,0.6836347104617334,-0.027891316888460083,1,1,0.9865510341133754,-0.8456606183713724,1,17.56446319120262
2025-04-22,10:00:26,"Friedman, Adkins and Lee",INV-108,4468.53,Marketing,Consulting fee,1,36026,28075.88,0.7758999412621204,-0.025509752798735907,1,1,1.0329610241900191,-1.432326106598527,1,9.863409237504692
2025-04-22,07:08:25,"Friedman, Adkins and Lee",INV-198,100000.0,Finance,Travel expenses,1,25705,128075.88,17.36365071426443,0.031486033546342995,-1,1,1.1113993361515484,0.6638436247239099,-1,41.81457921799679
2025-04-25,00:14:53,"Friedman, Adkins and Lee",INV-117,5716.95,HR,Office supplies,4,893,133792.83000000002,0.9926712295091403,-0.008731053846013692,1,1,1.0718943212856569,-0.21902564329016982,1,28.032598704708978
2025-04-29,22:27:42,"Friedman, Adkins and Lee",INV-162,1287.44,Finance,Travel expenses,1,80862,135080.27000000002,0.223546584755726,-0.05122554798510209,1,1,1.0689058283611312,-0.31124872601359854,1,26.060980810576446
2025-04-29,06:45:02,"Friedman, Adkins and Lee",INV-145,5580.31,Marketing,Software purchase,1,24302,140660.58000000002,0.9689455371731696,-0.030721352189164886,1,1,1.0258598784002921,-1.257933354751195,1,12.18400296238778
2025-05-01,13:07:05,"Friedman, Adkins and Lee",INV-107,3629.75,Marketing, ,3,47225,144290.33000000002,0.6302571118010132,-0.03280080827366988,1,1,1.1390746623167007,-1.411335105211979,1,11.578850006494552
2025-05-01,19:17:13,"Friedman, Adkins and Lee",INV-196,1217.45,Marketing,Utility bill,3,69433,145507.78,0.21139376562081233,-0.024239421234962755,1,-1,1.2426472083713995,-0.7666119047636286,1,22.415213792785625
2025-05-01,02:38:41,"Friedman, Adkins and Lee",INV-144,4067.52,HR,Office supplies,3,9521,149575.30000000002,0.7062699655328486,-0.02845691983429327,1,1,1.1092154563017016,-0.5328498659783172,1,23.79131648163647
2025-05-06,09:16:31,"Friedman, Adkins and Lee",INV-170,4553.84,Finance,,1,33391,154129.14,0.7907128716864594,-0.06601738606186353,1,-1,1.227719856937619,-1.3379478298641025,1,13.423182057105562
2025-05-07,17:17:21,"Friedman, Adkins and Lee",INV-101,1207.49,IT,Utility bill,2,62241,155336.63,0.20966434600967157,-0.02727361642944981,1,1,1.1525957068147497,-0.9556546595262247,1,18.375816660120396
2025-05-08,02:17:37,"Friedman, Adkins and Lee",INV-103,1579.84,Marketing,Travel expenses,3,8257,156916.47,0.2743178994442352,-0.02460235371591929,1,1,1.159463196100719,-0.30982513510387477,1,27.759105450791377
2025-05-09,14:51:28,"Friedman, Adkins and Lee",INV-131,1825.23,Marketing,Utility bill,4,53488,158741.7,0.31692656193196866,-0.031374592175293925,1,1,1.055544667496077,-1.1724745698546677,1,13.823227664544236
2025-05-09,11:37:51,"Friedman, Adkins and Lee",INV-125,614.58,Finance, ,4,41871,159356.28,0.10671352455972635,-0.06292292814269207,1,1,1.1716162062429751,-1.180450837211641,1,14.919194660432325
2025-05-10,11:42:33,"Friedman, Adkins and Lee",INV-151,5271.1,HR,Office supplies,5,42153,164627.38,0.9152553927995924,-0.03038365131179821,1,1,1.075512063118836,-1.424762954833625,1,10.511140813441076
2025-05-11,14:55:42,"Friedman, Adkins and Lee",INV-195,4672.81,IT,Equipment,6,53742,169300.19,0.8113704069412199,-0.023140515171342635,1,1,0.9926306930144042,-1.307173560317299,1,11.111779978821005
2025-05-11,07:08:04,"Friedman, Adkins and Lee",INV-188,3433.81,Finance,Office supplies,6,25684,172734.0,0.5962347745914834,-0.061465850393210564,1,1,0.96663392144658,-1.0884146201472547,1,13.322941946312703
2025-05-15,06:26:44,"Friedman, Adkins and Lee",INV-170,3868.59,Finance,Software purchase,3,23204,176602.59,0.6717284551669623,-0.06604397449480143,1,1,0.9695023060517448,-1.0479701623271538,1,13.87752943754852
2025-05-15,15:26:25,"Friedman, Adkins and Lee",INV-118,4255.86,IT,Travel expenses,3,55585,180858.45,0.7389726652880941,-0.03221400447641104,1,1,1.0208724466315273,-1.2747493398144272,1,11.850459591282366
2025-05-16,20:39:40,"Friedman, Adkins and Lee",INV-129,1845.27,Operations,,4,74380,182703.72,0.3204062375351073,-0.019890003799391542,1,1,0.9561628532348015,-0.5223772352980589,1,21.872573608798028
2025-05-22,06:03:36,"Friedman, Adkins and Lee",INV-146,2876.77,IT,Office supplies,3,21816,185580.49000000002,0.4995122946527449,-0.03763537875999834,1,1,0.9885928373753938,-0.9834093013613376,1,15.481957462737236
2025-05-25,23:48:14,"Friedman, Adkins and Lee",INV-118,190.63,Operations,License renewal,6,85694,185771.12,0.03310032735660228,-0.003027226532072491,1,1,1.059258878768478,0.17295886209489808,-1,33.54562488898672
2025-05-25,08:37:30,"Friedman, Adkins and Lee",INV-144,2865.07,Finance,Office supplies,6,31050,188636.19,0.497480747519176,-0.06221383339515835,1,1,0.9971930382323867,-1.2386758673672702,1,11.59838761571365
2025-05-25,21:12:39,"Friedman, Adkins and Lee",INV-118,2098.67,IT,Maintenance,6,76359,190734.86000000002,0.36440572844505337,-0.014841357909600783,1,1,0.9779132458773014,-0.4800520566591757,1,22.86226523025924
